行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
专用设备,0.24564659619592902,1.1880075170869318,0.8854505494505494,3.545506866136061,0.826101149163061,-2.6631768679595824,0.6483516483516484,1,46206098742.0,91,1.6354767930858003,领涨,右上加速,65.9
制冷空调设备,4.143007356035217,2.4671871428362575,0.6812777777777779,3.3186851258059313,-0.7048381460235564,3.064665891784979,0.7777777777777778,0,9592678619.0,18,0.7746615827321268,领涨,右下降温,65.6
涂料,-5.058676760095131,4.636513376272415,3.361,-0.5064037039895108,2.4322685068203675,-8.36283382468065,1.0,0,217245953.0,2,-0.0422147627004712,修复,左上修复,64.8
计算机,0.49682620394791616,-0.1108000097440842,2.429136842105263,4.774125886396541,-0.4210372866131906,-1.3466026819114019,0.8157894736842105,9,108454535471.0,190,1.4173117611954247,走弱,右下降温,64.7
产业地产,-2.449905059553585,0.6084190561330541,3.3695,2.5867257833804835,-0.3765910127536243,-5.045179849843995,1.0,1,3160286757.0,10,0.5604550843216705,修复,右上加速,64.6
建筑装饰,-0.7514443479978058,1.241062359519259,2.515589743589744,2.3853461361805772,-0.49586606741595096,-2.517316050802032,0.8589743589743589,3,22542578619.0,78,0.39434913437790486,修复,右下降温,64.3
化学原料,0.9196960369501165,-0.125475387988367,3.51065625,4.007579562976393,0.0024607077204308325,-2.2765890987208715,0.9375,1,22087522914.0,32,0.29476413945936164,走弱,右下降温,64.2
彩电,2.2770809865971358,3.416727361509922,-0.875,3.850958934125037,1.2116935196745393,-2.4686094558241334,0.5,0,2418841783.0,4,0.02349809976907924,领涨,右上加速,63.7
诊断服务,-0.9792836752879777,-0.2756003862226219,6.3396,7.759119823458205,0.4269468526505005,-1.5636398697303489,1.0,0,1922731851.0,5,4.284790883903397,退潮,右下降温,63.3
人力资源服务,-3.1263660263397184,1.4481195639311217,2.142,2.5764772886489817,0.020058884866669402,-8.023262483574122,1.0,0,169900766.0,3,0.5868817280160361,修复,右上加速,62.9
