行业名称,类型,排名,股票名称,代码,数值,展示
传媒,核心中军,1,天娱数科,002354,5895329300.0,天娱数科 59.0亿
传媒,核心中军,2,蓝色光标,300058,4738007737.0,蓝色光标 47.4亿
传媒,核心中军,3,易点天下,301171,2304137531.0,易点天下 23.0亿
保险Ⅱ,1日先锋,1,中国人保,601319,0.416,中国人保 +0.4%
保险Ⅱ,1日先锋,2,中国人寿,601628,0.39,中国人寿 +0.4%
保险Ⅱ,1日先锋,3,中国平安,601318,0.348,中国平安 +0.3%
保险Ⅱ,3日动能,1,中国人寿,601628,9.363507779349355,中国人寿 +9.4%
保险Ⅱ,3日动能,2,中国人保,601319,7.24852071005917,中国人保 +7.2%
保险Ⅱ,3日动能,3,新华保险,601336,6.46999664767014,新华保险 +6.5%
保险Ⅱ,5日趋势,1,中国人寿,601628,10.33105022831049,中国人寿 +10.3%
保险Ⅱ,5日趋势,2,新华保险,601336,6.577181208053684,新华保险 +6.6%
保险Ⅱ,5日趋势,3,中国人保,601319,4.920405209840806,中国人保 +4.9%
保险Ⅱ,核心中军,1,中国平安,601318,3933213372.0,中国平安 39.3亿
保险Ⅱ,核心中军,2,新华保险,601336,1938581464.0,新华保险 19.4亿
保险Ⅱ,核心中军,3,中国太保,601601,1715398889.0,中国太保 17.2亿
信托,1日先锋,1,陕国投Ａ,000563,0.704,陕国投Ａ +0.7%
信托,1日先锋,2,国网英大,600517,0.632,国网英大 +0.6%
信托,1日先锋,3,建元信托,600816,0.405,建元信托 +0.4%
信托,3日动能,1,陕国投Ａ,000563,3.6231884057970953,陕国投Ａ +3.6%
信托,3日动能,2,国网英大,600517,2.1367521367521514,国网英大 +2.1%
信托,3日动能,3,建元信托,600816,1.6393442622950838,建元信托 +1.6%
信托,5日趋势,1,陕国投Ａ,000563,1.7793594306049654,陕国投Ａ +1.8%
信托,5日趋势,2,国网英大,600517,0.8438818565400741,国网英大 +0.8%
信托,5日趋势,3,建元信托,600816,-0.40160642570281624,建元信托 -0.4%
信托,核心中军,1,建元信托,600816,125118756.0,建元信托 1.3亿
信托,核心中军,2,国网英大,600517,100141862.0,国网英大 1.0亿
信托,核心中军,3,陕国投Ａ,000563,84187893.0,陕国投Ａ 0.8亿
元件,1日先锋,1,XD奥迪威,920491,8.165,XD奥迪威 +8.2%
元件,1日先锋,2,高华科技,688539,4.504,高华科技 +4.5%
元件,1日先锋,3,胜业电气,920128,2.652,胜业电气 +2.7%
元件,3日动能,1,胜业电气,920128,0.0,胜业电气 +0.0%
元件,3日动能,2,XD奥迪威,920491,0.0,XD奥迪威 +0.0%
元件,3日动能,3,钧崴电子,301458,0.0,钧崴电子 +0.0%
元件,5日趋势,1,胜业电气,920128,0.0,胜业电气 +0.0%
元件,5日趋势,2,XD奥迪威,920491,0.0,XD奥迪威 +0.0%
元件,5日趋势,3,钧崴电子,301458,0.0,钧崴电子 +0.0%
元件,核心中军,1,三环集团,300408,9721283467.0,三环集团 97.2亿
元件,核心中军,2,风华高科,000636,5832357421.0,风华高科 58.3亿
元件,核心中军,3,麦捷科技,300319,3943436605.0,麦捷科技 39.4亿
光伏主材,1日先锋,1,隆基绿能,601012,-1.8,隆基绿能 -1.8%
光伏主材,1日先锋,2,通威股份,600438,-2.399,通威股份 -2.4%
光伏主材,1日先锋,3,弘元绿能,603185,-3.412,弘元绿能 -3.4%
光伏主材,3日动能,1,通威股份,600438,-2.5598678777869477,通威股份 -2.6%
光伏主材,3日动能,2,隆基绿能,601012,-4.344512195121942,隆基绿能 -4.3%
光伏主材,3日动能,3,弘元绿能,603185,-6.710605152786108,弘元绿能 -6.7%
光伏主材,5日趋势,1,隆基绿能,601012,-0.9471191791633693,隆基绿能 -0.9%
光伏主材,5日趋势,2,通威股份,600438,-1.3377926421404673,通威股份 -1.3%
光伏主材,5日趋势,3,弘元绿能,603185,-2.075471698113207,弘元绿能 -2.1%
光伏主材,核心中军,1,隆基绿能,601012,1573591667.0,隆基绿能 15.7亿
光伏主材,核心中军,2,通威股份,600438,781208245.0,通威股份 7.8亿
光伏主材,核心中军,3,弘元绿能,603185,240197220.0,弘元绿能 2.4亿
光伏发电,1日先锋,1,芯能科技,603105,2.014,芯能科技 +2.0%
光伏发电,1日先锋,2,晶科科技,601778,0.484,晶科科技 +0.5%
